Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s)
01/01/2012;1.2;0;12.9;24.2;22.1;21.5;null;2.65
02/01/2012;.7;0;43.2;23.2;20.4;19.6;null;2.3
03/01/2012;1.1;10.9;3.3;29.4;22.9;18.5;null;1.45
04/01/2012;5.1;10.7;.8;31.6;23.26;17.5;null;1
05/01/2012;6.4;10.3;0;31;22.56;14.6;null;.65
06/01/2012;5.1;2;3;30.6;22.52;19.8;null;1.95
07/01/2012;2.4;5.8;37.2;29.8;22.8;18.2;null;0
08/01/2012;3.3;1.4;1.8;28;21.84;19;null;1.5
09/01/2012;2.4;1;59.1;25.2;22.24;19;null;1.5
10/01/2012;4.5;0;.5;24.4;20.92;20;null;1
11/01/2012;1.2;0;11.8;24.2;20.88;18.8;null;0
12/01/2012;1.1;1.3;1.6;30;22.64;19.2;null;0
13/01/2012;2.2;4;11.4;30.8;23.4;19.2;null;1
14/01/2012;4.2;6.8;0;32.8;25.42;18.5;null;2.45
15/01/2012;5.8;.9;1;30;24.28;20.8;null;0
16/01/2012;3.2;1.3;10.2;29.6;24.34;20.5;null;.65
17/01/2012;3.1;4.9;2.2;30.4;23.28;20.8;null;1.15
18/01/2012;3.2;2.3;21.8;28.4;23.2;19.8;null;0
19/01/2012;2.1;1.5;1.1;29.6;22.96;20.8;null;1
20/01/2012;1.9;.7;15.6;30;22.98;19.5;null;1.6
21/01/2012;3.2;5.4;0;31.2;23.6;18;null;1.6
22/01/2012;3.5;5.5;.4;31;24.2;19.2;null;0
23/01/2012;4.9;7.6;0;32;24.92;19.6;null;1.8
24/01/2012;5.2;10.8;0;33;25.8;18.8;null;0
25/01/2012;7.1;8.6;0;33;24.96;18.8;null;.8
26/01/2012;4.9;3;0;31;23.8;20.2;null;1.15
27/01/2012;3.9;0;14.6;23.6;21.04;20;null;1.3
28/01/2012;1.4;0;23;23.6;19.92;18.8;null;1.45
29/01/2012;1.2;0;9.6;22.2;19.68;18.4;null;.9
30/01/2012;1.8;4;9.8;27;20.92;16.4;null;2.15
31/01/2012;3.8;5.5;0;29.2;22.56;18.6;null;1.3
