Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s)
01/01/2012;1.1;0;17.5;23;20.16;19;94;.666667
02/01/2012;.5;1.1;65.2;24.6;19.6;17.4;93.5;.333333
03/01/2012;.8;8.7;28.4;29.4;20.68;16.2;77.75;1.333.333
04/01/2012;3;11.1;2.8;30.2;21.68;15.2;66.25;1.533.333
05/01/2012;5.2;9.6;0;30.4;21.96;13.2;63.25;.666667
06/01/2012;4;4.5;.2;27.6;20.16;16.4;84.25;1.866.667
07/01/2012;2.1;2.5;16;26.4;20.4;16.2;84.75;.333333
08/01/2012;2.2;1.7;0;26.8;19.88;16.6;86.5;.666667
09/01/2012;1.9;1.8;6.6;26.8;20.6;16.8;79;1.533.333
10/01/2012;2;.5;7.8;21.8;18.76;16.8;94.25;.666667
11/01/2012;1;.3;7.9;22.4;18.96;16.4;90.25;.5
12/01/2012;1;4.6;5.8;27.2;20.48;16;81.5;.5
13/01/2012;2.8;5.9;0;27.4;20.68;17.4;85.25;1.733.333
14/01/2012;2.2;5.5;6.8;28.4;21.04;16.8;80.25;1.533.333
15/01/2012;2.8;2.4;5.5;27.8;21.4;18.4;90;1.333.333
16/01/2012;1.5;3.8;23;29;22.12;18.6;81.5;.666667
17/01/2012;2;1.5;36.2;27.2;19.44;16.8;87.75;.833333
18/01/2012;1.7;2.2;19.2;27.8;19.88;16.8;86.75;1.033.333
19/01/2012;2.2;3.5;4.7;27.2;20.04;16.4;87.75;.333333
20/01/2012;1.6;.7;9.9;26.2;20.6;17;83.5;.833333
21/01/2012;2.1;7.3;0;29.8;21.12;15.6;80.25;1
22/01/2012;3;6.2;6;28.6;20.76;16.8;77.25;.833333
23/01/2012;2.9;7.9;0;29.4;21.44;15.2;74.75;.833333
24/01/2012;3.4;10;2;30;22.24;15.8;68.25;1.366.667
25/01/2012;4.4;9.5;0;30.2;22.88;17;67.75;1.533.333
26/01/2012;4.3;8.9;0;30;22.32;16.4;72.75;1.2
27/01/2012;3;3.4;0;26.2;20.92;18;83.5;1.166.667
28/01/2012;1.5;1.7;32.4;24.4;19.28;16.8;92.5;.5
29/01/2012;.9;5.3;9.4;26.6;19.8;16.8;82.5;1.166.667
30/01/2012;2.1;10.4;19.6;28;20.16;14.2;73;1
31/01/2012;4.3;7.9;0;29;20.76;14.2;75.75;1.033.333
01/02/2012;4;7.5;10;27;21.56;17.4;75.75;2.4
02/02/2012;3.5;9.8;.4;29.8;23.08;15.2;64;1.166.667
03/02/2012;6.3;11.2;0;30.4;23.36;16;57.25;1.9
04/02/2012;5.8;11.7;0;30;23;15.8;55;1.866.667
05/02/2012;6.3;11.8;0;29.8;21.36;13.4;64;1.366.667
06/02/2012;5.6;11.1;0;31.2;23.04;14.2;64.75;.666667
07/02/2012;6;9.4;0;32.2;23.04;17.2;73.25;1.366.667
08/02/2012;5;10.4;0;32.6;22.92;14.6;64.25;1
09/02/2012;4.7;8;0;31.8;24.24;16.6;65.25;.333333
10/02/2012;4.1;5;.4;29.6;23.48;20;79;1.166.667
11/02/2012;2.4;2.2;25.8;25.4;21.24;18;86.5;.5
12/02/2012;1.5;1;7.6;25.6;20.76;18.2;94.75;.166667
13/02/2012;.7;.8;9.8;23.8;19.84;17.6;92.25;.666667
14/02/2012;.5;9;14.8;29.4;21.2;15.8;76.5;1.533.333
15/02/2012;3.4;9;0;30.6;20.3;14.4;82.75;1.533.333
16/02/2012;2.6;9.5;10.9;29.6;21.16;14.6;74.25;.333333
17/02/2012;3.7;8.8;0;29.6;22.12;15.8;74.75;1.366.667
18/02/2012;2.8;9.9;0;28.8;21.68;15.4;72.75;.866667
19/02/2012;4.7;1.5;0;27;21.12;16.2;81.75;.666667
20/02/2012;2.5;8.7;0;29.2;22.68;16;69.75;1.2
21/02/2012;5;6.9;0;29.2;21.6;17;74;.5
22/02/2012;4.2;6.4;0;28;21.48;17.4;77.75;1.166.667
23/02/2012;2.6;3.2;10.8;27;21.96;18;85.75;.666667
24/02/2012;2.4;9.3;0;31.6;23.04;17;80;.333333
25/02/2012;3.6;9.4;6.5;31;23.2;18.6;79;.833333
26/02/2012;3.5;9.6;0;30.6;23.76;18.8;72.75;.166667
27/02/2012;4;10.7;0;32.2;24.36;18;66.5;.833333
28/02/2012;4.5;11.4;0;31.6;22.72;16.2;67.25;.5
29/02/2012;5.2;11.5;0;32.4;23.36;15.2;66.75;.666667
01/03/2012;5.1;11.7;0;33;23.52;15.2;69;.5
02/03/2012;4.2;9.6;0;33;22.88;15.8;68.25;.166667
03/03/2012;4.3;6;0;30.4;21.44;16.2;89.5;1.533.333
04/03/2012;1.6;4.9;11.8;29.2;21.16;16;84.25;.666667
05/03/2012;2.1;10.8;0;30.2;22.64;15;69.25;1.2
06/03/2012;4.4;8.1;0;30.4;21.12;14.4;71.5;.333333
07/03/2012;3.6;10.4;5.2;29;20.8;13;66.75;.5
08/03/2012;4.3;10.7;0;29.8;21.56;14.6;66.25;.833333
09/03/2012;4;10;0;31.4;22.02;14.2;64.5;.5
10/03/2012;4;4.6;0;28.2;20.08;15.2;88.5;.7
11/03/2012;1.7;4.4;6.6;29.4;20.24;15.8;89.75;1.2
12/03/2012;1.5;8.1;2;29.2;21.76;15.8;76;.166667
13/03/2012;3.1;5.4;0;27.6;21.12;16;83.25;.833333
14/03/2012;1.9;8.6;1.6;28.8;21.88;15.2;76.75;.333333
15/03/2012;2.9;10;0;30.4;23.08;17.8;73.25;2.233.333
16/03/2012;3.4;3.4;28.6;27.2;21.02;17.8;93.75;1
17/03/2012;1.1;4;25.1;26.6;20.68;16.2;79;1.2
18/03/2012;2.3;10.5;0;28.2;20.4;14;66.25;1.366.667
19/03/2012;3.6;5.8;0;25.2;19.32;13;76.25;.5
20/03/2012;2.6;5.2;0;27.6;20.6;16.6;77.25;.5
21/03/2012;2.7;10.2;0;28.6;20.8;14.6;76.25;.5
22/03/2012;3.1;8.2;0;30.2;21.48;15.6;77.5;1.566.667
23/03/2012;3.1;5.1;.2;27.4;20.68;17.6;84.75;1
24/03/2012;2.4;4.5;9.6;27.2;21.32;17.4;84.5;1
25/03/2012;1.9;8.9;12.6;29.6;22.44;18;76.5;1.033.333
26/03/2012;3.1;10.3;0;29.6;21.6;15;75.75;.666667
27/03/2012;3.7;5.4;0;29.6;21.72;16.2;79.75;.166667
28/03/2012;2.9;2.2;0;27;21.04;17.8;80;1.366.667
29/03/2012;2.1;4.5;15.4;26;20.32;16.4;84.25;1.033.333
30/03/2012;2.1;4.9;0;27;20.12;15.2;80.75;1.2
31/03/2012;2.2;10.2;.3;29.2;20.72;14.6;71.5;1.166.667
01/04/2012;3.3;9.2;0;28.4;20.24;13.8;69.75;.5
02/04/2012;3;10.1;0;29.2;19.8;13.2;79;.866667
03/04/2012;2.9;6.7;0;27.4;20.2;12.8;75;1.033.333
04/04/2012;2.6;10.1;0;28.8;20.56;14.4;77.5;.866667
05/04/2012;3.3;10;0;29.8;22;14.8;72.25;.833333
06/04/2012;3.7;3.5;0;27;20.62;16.8;90.5;.333333
07/04/2012;1.7;8.3;4.5;29.8;22.76;17.8;72;1.166.667
08/04/2012;3.1;7.9;.2;28.8;21.76;17.6;78.25;.833333
09/04/2012;2.7;7.1;0;28;21.52;16.2;75;.333333
10/04/2012;3;8.9;0;28.6;19.84;13.2;82.5;.666667
11/04/2012;2.4;8.4;5.4;28;19.56;13.8;82.75;.666667
12/04/2012;2.7;9.3;0;28.8;21.36;14.2;74.5;.5
13/04/2012;3.3;7.6;0;28.8;22.36;17.6;73;.5
14/04/2012;3.1;7.8;0;29;21.88;17.2;78.5;.166667
15/04/2012;2.7;4.9;0;28.4;21.2;17;88.75;1.533.333
16/04/2012;1.6;6.8;14.5;27.4;20.96;16.8;81.75;1.866.667
17/04/2012;2;9.8;5;27.2;19.56;14;78.25;1.2
18/04/2012;2.2;8.3;0;27.4;19.8;13.6;72.75;.666667
19/04/2012;2.5;9;0;26.8;17.88;12.4;80.75;.5
20/04/2012;2.3;6.5;0;26.2;17.72;10.6;83.5;.5
21/04/2012;2.2;2.4;0;26.2;18.56;15.2;87.25;1.033.333
22/04/2012;1.6;3.9;14.7;25.2;19.04;15.4;81;.7
23/04/2012;2.1;8.2;.2;26;19.52;14.2;78;.333333
24/04/2012;2.5;9.5;0;27.2;19.4;14.4;76.75;1.033.333
25/04/2012;2.8;8.9;0;27.6;18.16;11.2;82.25;.333333
26/04/2012;3.2;3.5;0;26.8;20.36;14.4;85.5;2.066.667
