data,evap,inso,prec,temp,umid,vent,volu
1993-01-04,0.0,0.2,1.2,23.32,80.75,0.0,77.4
1993-02-04,1.5,0.1,0.0,21.92,93.75,0.0,78.06
1993-03-04,0.8,1.5,5.7,23.16,78.0,1266667.0,78.22
1993-04-04,1.3,8.2,0.0,23.96,76.75,1366667.0,78.22
1993-05-04,1.5,7.8,28.6,23.84,77.75,0.0,78.39
1993-06-04,1.5,9.2,0.0,25.32,75.5,1133333.0,78.06
1993-07-04,1.8,9.3,0.0,26.52,68.5,0.0,77.4
1993-08-04,2.2,7.3,0.0,25.24,70.25,1466667.0,77.23
1993-09-04,2.4,2.7,9.9,22.48,74.25,5533333.0,77.07
1993-10-04,2.2,5.0,0.0,21.24,70.5,2333333.0,76.57
1993-11-04,1.9,0.0,0.0,20.96,79.0,1066667.0,75.91
1993-12-04,1.6,4.4,0.0,22.74,68.5,0.0,74.92
1993-04-13,1.9,5.8,0.0,23.02,78.5,966667.0,74.26
1993-04-14,1.8,6.6,0.0,23.36,75.5,533333.0,73.44
1993-04-15,1.9,7.1,0.0,23.24,77.75,0.0,73.11
1993-04-16,1.9,6.8,0.0,23.44,77.5,533333.0,72.78
1993-04-17,2.0,7.7,0.0,23.9,75.0,533333.0,72.61
1993-04-18,2.0,8.2,0.0,23.96,71.5,2.0,72.28
1993-04-19,2.3,8.2,0.0,23.6,72.5,533333.0,71.62
1993-04-20,2.1,7.1,0.0,24.08,71.0,433333.0,71.13
1993-04-21,2.1,7.3,0.0,23.8,72.75,533333.0,70.8
1993-04-22,2.0,6.4,0.4,23.36,75.75,1366667.0,70.3
1993-04-23,2.3,4.1,0.0,21.56,84.0,1066667.0,70.14
1993-04-24,2.1,2.8,46.2,20.64,93.25,11.0,71.13
1993-04-25,1.2,8.0,10.0,22.24,80.25,833333.0,71.46
1993-04-26,1.7,9.7,0.0,22.48,76.0,833333.0,71.95
1993-04-27,2.3,6.9,0.0,22.0,81.75,966667.0,71.13
1993-04-28,1.8,8.4,0.0,23.0,77.75,1633333.0,69.97
1993-04-29,2.2,7.5,0.0,22.48,79.5,1066667.0,69.97
1993-04-30,2.3,5.7,0.0,22.62,82.75,12.0,68.65
1993-01-05,1.8,6.6,0.0,23.2,74.25,733333.0,68.16
1993-02-05,2.3,4.5,0.0,20.88,81.25,666667.0,67.66
1993-03-05,2.4,1.1,0.0,20.98,85.75,0.0,67.17
1993-04-05,1.6,0.5,1.2,21.94,83.0,433333.0,66.67
1993-05-05,1.6,0.6,0.0,21.02,85.75,3866667.0,66.01
1993-06-05,1.5,6.9,2.8,21.0,81.25,1066667.0,65.68
1993-07-05,1.8,8.7,0.0,21.94,74.75,966667.0,65.19
1993-08-05,2.3,8.4,0.0,20.44,76.75,533333.0,64.86
1993-09-05,2.2,7.9,0.1,19.68,79.25,12.0,64.2
1993-10-05,2.4,7.9,0.2,19.02,80.0,0.0,62.55
1993-11-05,2.1,8.1,0.3,18.54,72.0,0.0,61.72
1993-12-05,2.1,6.6,0.0,17.6,76.25,0.0,60.9
1993-05-13,2.4,5.8,0.0,19.18,75.25,13.0,59.74
1993-05-14,2.3,1.2,0.0,20.92,72.25,1533333.0,58.75
1993-05-15,1.8,0.0,4.0,18.04,88.75,12.0,58.26
1993-05-16,1.7,0.0,0.5,18.1,87.25,533333.0,57.76
1993-05-17,1.0,0.5,0.3,19.2,83.5,533333.0,56.77
1993-05-18,1.1,7.0,0.1,20.42,77.0,16.0,55.95
1993-05-19,2.7,8.8,0.0,20.14,72.0,24.0,55.29
1993-05-20,1.4,8.7,0.0,17.8,68.5,12.0,54.63
1993-05-21,2.6,9.6,0.0,16.0,64.5,1166667.0,53.97
1993-05-22,2.7,8.3,0.0,17.12,72.25,833333.0,53.47
1993-05-23,2.3,8.4,0.0,18.8,71.0,933333.0,52.98
1993-05-24,2.4,5.5,0.0,17.44,74.75,1066667.0,52.32
1993-05-25,2.1,5.3,0.0,18.0,71.5,6.0,51.66
1993-05-26,2.1,4.8,0.0,18.44,74.25,0.0,51.16
1993-05-27,1.8,5.1,0.0,18.82,76.25,12.0,50.83
1993-05-28,2.0,0.0,0.0,16.88,84.75,18.0,50.34
1993-05-29,1.1,0.1,0.7,17.5,78.5,16.0,50.17
1993-05-30,1.3,1.6,0.0,18.6,81.0,533333.0,49.84
1993-05-31,1.1,0.5,11.3,18.8,87.25,533333.0,50.5
1993-01-06,0.8,0.0,1.5,18.0,92.5,0.0,51.16
1993-02-06,0.8,0.0,3.6,17.14,81.75,27.0,51.82
1993-03-06,0.9,0.1,0.0,17.86,77.25,533333.0,52.32
1993-04-06,0.9,9.0,0.0,19.26,72.5,533333.0,52.98
1993-05-06,1.5,2.7,0.0,19.34,83.0,666667.0,53.47
1993-06-06,1.1,4.1,4.6,20.44,84.0,433333.0,54.13
1993-07-06,1.0,7.4,6.5,21.12,82.5,0.0,54.13
1993-08-06,1.4,6.2,0.0,21.6,74.5,533333.0,54.13
1993-09-06,1.8,7.2,0.3,20.0,71.25,533333.0,53.97
1993-10-06,2.1,1.7,0.0,17.76,84.75,1566667.0,53.97
1993-11-06,1.6,0.0,21.9,16.3,88.25,0.0,54.63
1993-12-06,0.9,0.1,2.0,15.9,81.0,666667.0,54.96
1993-06-13,1.2,0.0,0.0,15.36,79.25,533333.0,55.29
1993-06-14,1.0,7.8,1.1,15.84,76.0,3333333.0,55.29
1993-06-15,1.5,7.8,0.0,15.96,68.75,766667.0,55.62
1993-06-16,1.5,8.0,0.0,15.04,74.0,15.0,55.45
1993-06-17,2.4,5.3,0.0,16.3,74.25,5.0,55.12
1993-06-18,1.6,0.0,0.0,16.72,85.0,0.0,54.79
1993-06-19,1.2,7.0,0.8,16.6,68.25,44.0,54.63
